A-site,B-site,X-site,T_f,O_f,r_A.eff,P_A,A_HOMO,χ_B,r_B_s+p,A_LUMO,r_B,IE_B,P_B,EA_B,X_p-electron,IC_B,1st_IP_B,VE_B,B_d-electron,1st_IP_X,χ_X,P_X,IC_X,r_X_s+p,r_X,X_s-electron,B_p-electron,EA_X,B_s-electron,X_d-electron,B_f-electron,X_f-electron,bandgap-PBE(eV)
CH3NH3,Cd,I,0.98097036,0.43181818200000005,2.17,2.96816307,-15.735,1.4,2.215,-6.382000000000001,0.95,16.90831,7.36,0.3983,24,46,8.99,10,20,10.45,2.66,4.7,54,1.585,2.2,10,18,3.0589999999999997,8,20,0,0,0.9564440000000001
CH3NH3,In,I,0.9701904659999999,0.447727273,2.17,2.96816307,-15.735,1.63,2.05,-6.382000000000001,0.985,18.8703,9.1,0.3,24,47,5.79,1,20,10.45,2.66,4.7,54,1.585,2.2,10,18,3.0589999999999997,9,20,0,0,0.0
CH3NH3,Sb,I,0.914217939,0.536363636,2.17,2.96816307,-15.735,2.14,1.765,-6.382000000000001,1.18,16.63,6.6,1.046,24,49,8.54,3,20,10.45,2.66,4.7,54,1.585,2.2,10,19,3.0589999999999997,10,20,0,0,0.0
CH3NH3,Ba,I,0.870438488,0.613636364,2.17,2.96816307,-15.735,1.08,3.4019999999999997,-6.382000000000001,1.35,10.00383,39.7,0.14462,24,54,5.21,0,20,10.45,2.66,4.7,54,1.585,2.2,10,24,3.0589999999999997,10,20,0,0,4.052364
CH3NH3,Hf,I,0.9420904370000001,0.490909091,2.17,2.96816307,-15.735,1.73,2.91,-6.382000000000001,1.08,15.0,16.2,0.013999999999999999,24,70,6.83,2,22,10.45,2.66,4.7,54,1.585,2.2,10,24,3.0589999999999997,10,20,14,0,0.0
CH3NH3,Ta,I,0.971715923,0.445454545,2.17,2.96816307,-15.735,1.94,2.79,-6.382000000000001,0.98,15.5,13.1,0.322,24,71,7.89,3,23,10.45,2.66,4.7,54,1.585,2.2,10,24,3.0589999999999997,10,20,14,0,0.0
CH3NH3,W,I,0.993587342,0.413636364,2.17,2.96816307,-15.735,1.79,2.735,-6.382000000000001,0.91,16.1,11.1,0.81626,24,72,7.98,4,24,10.45,2.66,4.7,54,1.585,2.2,10,24,3.0589999999999997,10,20,14,0,0.0
CH3NH3,Re,I,1.013133323,0.386363636,2.17,2.96816307,-15.735,2.06,2.68,-6.382000000000001,0.85,17.833,9.7,0.15,24,73,7.88,5,25,10.45,2.66,4.7,54,1.585,2.2,10,24,3.0589999999999997,10,20,14,0,0.0
CH3NH3,Au,I,1.028305036,0.365909091,2.17,2.96816307,-15.735,1.19,2.66,-6.382000000000001,0.805,20.2,5.8,2.30863,24,77,9.23,9,29,10.45,2.66,4.7,54,1.585,2.2,10,24,3.0589999999999997,10,20,14,0,0.516939
CH3NH3,Tl,I,0.858349065,0.636363636,2.17,2.96816307,-15.735,1.69,2.235,-6.382000000000001,1.4,20.4283,7.5,0.377,24,79,6.11,1,30,10.45,2.66,4.7,54,1.585,2.2,10,24,3.0589999999999997,11,20,14,0,0.0
CH3NH3,Bi,I,0.911521131,0.5409090910000001,2.17,2.96816307,-15.735,2.14,1.9969999999999999,-6.382000000000001,1.19,16.703,7.4,0.942362,24,81,7.29,3,30,10.45,2.66,4.7,54,1.585,2.2,10,25,3.0589999999999997,12,20,14,0,0.0
CH3NH3,Mg,Br,1.0896832109999999,0.367346939,2.17,2.96816307,-15.735,1.31,2.03,-6.382000000000001,0.72,15.03527,10.6,0.2623,18,10,7.65,0,0,11.81,2.96,3.04,36,1.2,1.96,8,6,3.364,4,10,0,0,2.707044
