A-site,B-site,X-site,T_f,O_f,r_A.eff,P_A,A_HOMO,χ_B,r_B_s+p,A_LUMO,r_B,IE_B,P_B,EA_B,X_p-electron,IC_B,1st_IP_B,VE_B,B_d-electron,1st_IP_X,χ_X,P_X,IC_X,r_X_s+p,r_X,X_s-electron,B_p-electron,EA_X,B_s-electron,X_d-electron,B_f-electron,X_f-electron,bandgap-PBE(eV)
CH3NH3,Mg,Cl,1.112365608,0.397790055,2.17,2.96816307,-15.735,1.31,2.03,-6.382,0.72,15.03527,10.6,0.2623,12,10,7.65,0,0,12.97,3.16,2.18,18,1.01,1.81,6,6,3.613,4,0,0,0,3.948121
CH3NH3,Ca,Cl,1.001524907,0.552486188,2.17,2.96816307,-15.735,1.17,3,-6.382,1,11.87172,25,0.02455,12,18,6.11,0,0,12.97,3.16,2.18,18,1.01,1.81,6,12,3.613,6,0,0,0,5.673758
CH3NH3,Sc,Cl,1.02337636,0.519337017,2.17,2.96816307,-15.735,1.5,2.75,-6.382,0.94,12.79977,17.8,0.188,12,19,6.56,1,1,12.97,3.16,2.18,18,1.01,1.81,6,12,3.613,6,0,0,0,0
CH3NH3,Ti,Cl,1.054039322,0.475138122,2.17,2.96816307,-15.735,1.86,2.58,-6.382,0.86,13.5755,14.6,0.079,12,20,6.83,2,5,12.97,3.16,2.18,18,1.01,1.81,6,12,3.613,6,0,0,0,0
CH3NH3,Ge,Cl,1.107986216,0.403314917,2.17,2.96816307,-15.735,1.99,1.56,-6.382,0.73,15.93461,5.84,1.232712,12,30,7.9,2,10,12.97,3.16,2.18,18,1.01,1.81,6,12,3.613,8,0,0,0,2.443239
CH3NH3,Sr,Cl,0.941232438,0.651933702,2.17,2.96816307,-15.735,1.13,3.21,-6.382,1.18,11.0301,27.6,0.048,12,36,5.7,0,10,12.97,3.16,2.18,18,1.01,1.81,6,18,3.613,8,0,0,0,5.76213
CH3NH3,Y,Cl,0.952380707,0.632596685,2.17,2.96816307,-15.735,1.41,2.94,-6.382,1.145,12.224,22.7,0.307,12,37,6.22,1,11,12.97,3.16,2.18,18,1.01,1.81,6,18,3.613,8,0,0,0,0
CH3NH3,Zr,Cl,0.960506822,0.61878453,2.17,2.96816307,-15.735,1.7,2.825,-6.382,1.12,13.1,17.9,0.426,12,38,6.63,2,12,12.97,3.16,2.18,18,1.01,1.81,6,18,3.613,8,0,0,0,0
CH3NH3,Nb,Cl,1.005101782,0.546961326,2.17,2.96816307,-15.735,2.03,2.79,-6.382,0.99,14,15.7,0.916,12,39,6.76,3,13,12.97,3.16,2.18,18,1.01,1.81,6,18,3.613,8,0,0,0,0
CH3NH3,Mo,Cl,1.038481546,0.497237569,2.17,2.96816307,-15.735,1.94,2.72,-6.382,0.9,16.16,12.8,0.748,12,40,7.09,4,14,12.97,3.16,2.18,18,1.01,1.81,6,18,3.613,8,0,0,0,0
CH3NH3,Rh,Cl,1.061994336,0.464088398,2.17,2.96816307,-15.735,1.99,2.52,-6.382,0.84,18.08,8.6,1.137,12,43,7.46,7,17,12.97,3.16,2.18,18,1.01,1.81,6,18,3.613,8,0,0,0,0
CH3NH3,Ag,Cl,1.02337636,0.519337017,2.17,2.96816307,-15.735,1.07,2.375,-6.382,0.94,21.47746,7.2,1.302,12,45,7.58,9,19,12.97,3.16,2.18,18,1.01,1.81,6,18,3.613,8,0,0,0,0
CH3NH3,Cd,Cl,1.019668474,0.524861878,2.17,2.96816307,-15.735,1.4,2.215,-6.382,0.95,16.90831,7.36,0.3983,12,46,8.99,10,20,12.97,3.16,2.18,18,1.01,1.81,6,18,3.613,8,0,0,0,1.908948
CH3NH3,In,Cl,1.006899817,0.544198895,2.17,2.96816307,-15.735,1.63,2.05,-6.382,0.985,18.8703,9.1,0.3,12,47,5.79,1,20,12.97,3.16,2.18,18,1.01,1.81,6,18,3.613,9,0,0,0,2.127627
CH3NH3,Sn,Cl,0.95399491,0.629834,2.17,2.96816307,-15.735,1.88,1.88,-6.382,1.14,14.6322,6.28,1.112067,12,48,7.34,2,20,12.97,3.16,2.18,18,1.01,1.81,6,18,3.613,10,0,0,0,1.609015
CH3NH3,Sb,Cl,0.941232438,0.651933702,2.17,2.96816307,-15.735,2.14,1.765,-6.382,1.18,16.63,6.6,1.046,12,49,8.54,3,20,12.97,3.16,2.18,18,1.01,1.81,6,19,3.613,10,0,0,0,0
CH3NH3,Ba,Cl,0.890596516,0.745856354,2.17,2.96816307,-15.735,1.08,3.402,-6.382,1.35,10.00383,39.7,0.14462,12,54,5.21,0,20,12.97,3.16,2.18,18,1.01,1.81,6,24,3.613,10,0,0,0,5.544761
CH3NH3,Hf,Cl,0.973801034,0.596685083,2.17,2.96816307,-15.735,1.73,2.91,-6.382,1.08,15,16.2,0.014,12,70,6.83,2,22,12.97,3.16,2.18,18,1.01,1.81,6,24,3.613,10,0,14,0,0
CH3NH3,Ta,Cl,1.008704297,0.541436464,2.17,2.96816307,-15.735,1.94,2.79,-6.382,0.98,15.5,13.1,0.322,12,71,7.89,3,23,12.97,3.16,2.18,18,1.01,1.81,6,24,3.613,10,0,14,0,0
CH3NH3,W,Cl,1.034663599,0.502762431,2.17,2.96816307,-15.735,1.79,2.735,-6.382,0.91,16.1,11.1,0.81626,12,72,7.98,4,24,12.97,3.16,2.18,18,1.01,1.81,6,24,3.613,10,0,14,0,0
CH3NH3,Re,Cl,1.058001876,0.46961326,2.17,2.96816307,-15.735,2.06,2.68,-6.382,0.85,17.833,9.7,0.15,12,73,7.88,5,25,12.97,3.16,2.18,18,1.01,1.81,6,24,3.613,10,0,14,0,0
CH3NH3,Au,Cl,1.076208409,0.444751381,2.17,2.96816307,-15.735,1.19,2.66,-6.382,0.805,20.2,5.8,2.30863,12,77,9.23,9,29,12.97,3.16,2.18,18,1.01,1.81,6,24,3.613,10,0,14,0,0.799366
CH3NH3,Tl,Cl,0.876724296,0.773480663,2.17,2.96816307,-15.735,1.69,2.235,-6.382,1.4,20.4283,7.5,0.377,12,79,6.11,1,30,12.97,3.16,2.18,18,1.01,1.81,6,24,3.613,11,0,14,0,1.440342
CH3NH3,Bi,Cl,0.938094996,0.657458564,2.17,2.96816307,-15.735,2.14,1.997,-6.382,1.19,16.703,7.4,0.942362,12,81,7.29,3,30,12.97,3.16,2.18,18,1.01,1.81,6,25,3.613,12,0,14,0,0
HC(NH2)2,Mg,I,1.145416122,0.327272727,2.53,2.502999555,-13.03,1.31,2.03,-7.412,0.72,15.03527,10.6,0.2623,24,10,7.65,0,0,10.45,2.66,4.7,54,1.585,2.2,10,6,3.059,4,20,0,0,1.308368
HC(NH2)2,Si,I,1.173549149,0.295454545,2.53,2.502999555,-13.03,1.98,1.42,-7.412,0.65,16.54584,5.53,1.3895211,24,12,8.15,2,0,10.45,2.66,4.7,54,1.585,2.2,10,6,3.059,6,20,0,0,0.747809
HC(NH2)2,P,I,1.181842783,0.286363636,2.53,2.502999555,-13.03,2.32,1.24,-7.412,0.63,19.7695,3.63,0.746607,24,13,10.49,3,0,10.45,2.66,4.7,54,1.585,2.2,10,7,3.059,6,20,0,0,0
HC(NH2)2,Ca,I,1.045192211,0.454545455,2.53,2.502999555,-13.03,1.17,3,-7.412,1,11.87172,25,0.02455,24,18,6.11,0,0,10.45,2.66,4.7,54,1.585,2.2,10,12,3.059,6,20,0,0,3.570053
HC(NH2)2,Sc,I,1.065164037,0.427272727,2.53,2.502999555,-13.03,1.5,2.75,-7.412,0.94,12.79977,17.8,0.188,24,19,6.56,1,1,10.45,2.66,4.7,54,1.585,2.2,10,12,3.059,6,20,0,0,0
HC(NH2)2,Ti,I,1.093011462,0.390909091,2.53,2.502999555,-13.03,1.86,2.58,-7.412,0.86,13.5755,14.6,0.079,24,20,6.83,2,5,10.45,2.66,4.7,54,1.585,2.2,10,12,3.059,6,20,0,0,0
HC(NH2)2,V,I,1.11860036,0.359090909,2.53,2.502999555,-13.03,2.22,2.43,-7.412,0.79,14.618,12.4,0.525,24,21,6.75,3,3,10.45,2.66,4.7,54,1.585,2.2,10,12,3.059,6,20,0,0,0
HC(NH2)2,Ni,I,1.157306254,0.313636364,2.53,2.502999555,-13.03,1.76,2.18,-7.412,0.69,18.16884,6.8,1.156,24,26,7.64,8,8,10.45,2.66,4.7,54,1.585,2.2,10,12,3.059,6,20,0,0,0
HC(NH2)2,Cu,I,1.141506852,0.331818182,2.53,2.502999555,-13.03,1.9,2.04,-7.412,0.73,20.2924,6.1,1.235,24,27,7.73,9,9,10.45,2.66,4.7,54,1.585,2.2,10,12,3.059,6,20,0,0,0
HC(NH2)2,Ge,I,1.141506852,0.331818182,2.53,2.502999555,-13.03,1.99,1.56,-7.412,0.73,15.93461,5.84,1.232712,24,30,7.9,2,10,10.45,2.66,4.7,54,1.585,2.2,10,12,3.059,8,20,0,0,1.01957
HC(NH2)2,As,I,1.149352259,0.322727273,2.53,2.502999555,-13.03,2.27,1.415,-7.412,0.71,18.5892,4.31,0.804,24,31,9.81,3,10,10.45,2.66,4.7,54,1.585,2.2,10,13,3.059,8,20,0,0,0
HC(NH2)2,Sr,I,0.989531087,0.536363636,2.53,2.502999555,-13.03,1.13,3.21,-7.412,1.18,11.0301,27.6,0.048,24,36,5.7,0,10,10.45,2.66,4.7,54,1.585,2.2,10,18,3.059,8,20,0,0,3.663495
HC(NH2)2,Y,I,0.999884925,0.520454545,2.53,2.502999555,-13.03,1.41,2.94,-7.412,1.145,12.224,22.7,0.307,24,37,6.22,1,11,10.45,2.66,4.7,54,1.585,2.2,10,18,3.059,8,20,0,0,0
HC(NH2)2,Zr,I,1.007414179,0.509090909,2.53,2.502999555,-13.03,1.7,2.825,-7.412,1.12,13.1,17.9,0.426,24,38,6.63,2,12,10.45,2.66,4.7,54,1.585,2.2,10,18,3.059,8,20,0,0,0
HC(NH2)2,Nb,I,1.048468676,0.45,2.53,2.502999555,-13.03,2.03,2.79,-7.412,0.99,14,15.7,0.916,24,39,6.76,3,13,10.45,2.66,4.7,54,1.585,2.2,10,18,3.059,8,20,0,0,0
HC(NH2)2,Mo,I,1.078908089,0.409090909,2.53,2.502999555,-13.03,1.94,2.72,-7.412,0.9,16.16,12.8,0.748,24,40,7.09,4,14,10.45,2.66,4.7,54,1.585,2.2,10,18,3.059,8,20,0,0,0
HC(NH2)2,Rh,I,1.100202327,0.381818182,2.53,2.502999555,-13.03,1.99,2.52,-7.412,0.84,18.08,8.6,1.137,24,43,7.46,7,17,10.45,2.66,4.7,54,1.585,2.2,10,18,3.059,8,20,0,0,0
HC(NH2)2,Ag,I,1.065164037,0.427272727,2.53,2.502999555,-13.03,1.07,2.375,-7.412,0.94,21.47746,7.2,1.302,24,45,7.58,9,19,10.45,2.66,4.7,54,1.585,2.2,10,18,3.059,8,20,0,0,0
HC(NH2)2,In,I,1.050114623,0.447727273,2.53,2.502999555,-13.03,1.63,2.05,-7.412,0.985,18.8703,9.1,0.3,24,47,5.79,1,20,10.45,2.66,4.7,54,1.585,2.2,10,18,3.059,9,20,0,0,0
HC(NH2)2,Sb,I,0.989531087,0.536363636,2.53,2.502999555,-13.03,2.14,1.765,-7.412,1.18,16.63,6.6,1.046,24,49,8.54,3,20,10.45,2.66,4.7,54,1.585,2.2,10,19,3.059,10,20,0,0,0
HC(NH2)2,Hf,I,1.019699718,0.490909091,2.53,2.502999555,-13.03,1.73,2.91,-7.412,1.08,15,16.2,0.014,24,70,6.83,2,22,10.45,2.66,4.7,54,1.585,2.2,10,24,3.059,10,20,14,0,0
HC(NH2)2,Ta,I,1.051765747,0.445454545,2.53,2.502999555,-13.03,1.94,2.79,-7.412,0.98,15.5,13.1,0.322,24,71,7.89,3,23,10.45,2.66,4.7,54,1.585,2.2,10,24,3.059,10,20,14,0,0
HC(NH2)2,W,I,1.075438931,0.413636364,2.53,2.502999555,-13.03,1.79,2.735,-7.412,0.91,16.1,11.1,0.81626,24,72,7.98,4,24,10.45,2.66,4.7,54,1.585,2.2,10,24,3.059,10,20,14,0,0
HC(NH2)2,Au,I,1.113016664,0.365909091,2.53,2.502999555,-13.03,1.19,2.66,-7.412,0.805,20.2,5.8,2.30863,24,77,9.23,9,29,10.45,2.66,4.7,54,1.585,2.2,10,24,3.059,10,20,14,0,0.524834
HC(NH2)2,Tl,I,0.929059743,0.636363636,2.53,2.502999555,-13.03,1.69,2.235,-7.412,1.4,20.4283,7.5,0.377,24,79,6.11,1,30,10.45,2.66,4.7,54,1.585,2.2,10,24,3.059,11,20,14,0,0
HC(NH2)2,Bi,I,0.986612117,0.540909091,2.53,2.502999555,-13.03,2.14,1.997,-7.412,1.19,16.703,7.4,0.942362,24,81,7.29,3,30,10.45,2.66,4.7,54,1.585,2.2,10,25,3.059,12,20,14,0,0
HC(NH2)2,Si,Br,1.216440401,0.331632653,2.53,2.502999555,-13.03,1.98,1.42,-7.412,0.65,16.54584,5.53,1.3895211,18,12,8.15,2,0,11.81,2.96,3.04,36,1.2,1.96,8,6,3.364,6,10,0,0,1.317606
HC(NH2)2,Ca,Br,1.072604543,0.510204082,2.53,2.502999555,-13.03,1.17,3,-7.412,1,11.87172,25,0.02455,18,18,6.11,0,0,11.81,2.96,3.04,36,1.2,1.96,8,12,3.364,6,10,0,0,4.234652
HC(NH2)2,Sc,Br,1.094796361,0.479591837,2.53,2.502999555,-13.03,1.5,2.75,-7.412,0.94,12.79977,17.8,0.188,18,19,6.56,1,1,11.81,2.96,3.04,36,1.2,1.96,8,12,3.364,6,10,0,0,0
HC(NH2)2,Ti,Br,1.125854414,0.43877551,2.53,2.502999555,-13.03,1.86,2.58,-7.412,0.86,13.5755,14.6,0.079,18,20,6.83,2,5,11.81,2.96,3.04,36,1.2,1.96,8,12,3.364,6,10,0,0,0
HC(NH2)2,V,Br,1.154512526,0.403061224,2.53,2.502999555,-13.03,2.22,2.43,-7.412,0.79,14.618,12.4,0.525,18,21,6.75,3,3,11.81,2.96,3.04,36,1.2,1.96,8,12,3.364,6,10,0,0,0
HC(NH2)2,Ge,Br,1.180263735,0.37244898,2.53,2.502999555,-13.03,1.99,1.56,-7.412,0.73,15.93461,5.84,1.232712,18,30,7.9,2,10,11.81,2.96,3.04,36,1.2,1.96,8,12,3.364,8,10,0,0,1.461968
HC(NH2)2,As,Br,1.189104662,0.362244898,2.53,2.502999555,-13.03,2.27,1.415,-7.412,0.71,18.5892,4.31,0.804,18,31,9.81,3,10,11.81,2.96,3.04,36,1.2,1.96,8,13,3.364,8,10,0,0,0
HC(NH2)2,Sr,Br,1.011117658,0.602040816,2.53,2.502999555,-13.03,1.13,3.21,-7.412,1.18,11.0301,27.6,0.048,18,36,5.7,0,10,11.81,2.96,3.04,36,1.2,1.96,8,18,3.364,8,10,0,0,4.216821
HC(NH2)2,Y,Br,1.02251512,0.584183673,2.53,2.502999555,-13.03,1.41,2.94,-7.412,1.145,12.224,22.7,0.307,18,37,6.22,1,11,11.81,2.96,3.04,36,1.2,1.96,8,18,3.364,8,10,0,0,0
HC(NH2)2,Zr,Br,1.030814756,0.571428571,2.53,2.502999555,-13.03,1.7,2.825,-7.412,1.12,13.1,17.9,0.426,18,38,6.63,2,12,11.81,2.96,3.04,36,1.2,1.96,8,18,3.364,8,10,0,0,0
HC(NH2)2,Nb,Br,1.076240491,0.505102041,2.53,2.502999555,-13.03,2.03,2.79,-7.412,0.99,14,15.7,0.916,18,39,6.76,3,13,11.81,2.96,3.04,36,1.2,1.96,8,18,3.364,8,10,0,0,0
HC(NH2)2,Mo,Br,1.110108198,0.459183673,2.53,2.502999555,-13.03,1.94,2.72,-7.412,0.9,16.16,12.8,0.748,18,40,7.09,4,14,11.81,2.96,3.04,36,1.2,1.96,8,18,3.364,8,10,0,0,0
HC(NH2)2,Rh,Br,1.133896231,0.428571429,2.53,2.502999555,-13.03,1.99,2.52,-7.412,0.84,18.08,8.6,1.137,18,43,7.46,7,17,11.81,2.96,3.04,36,1.2,1.96,8,18,3.364,8,10,0,0,0
HC(NH2)2,Ag,Br,1.094796361,0.479591837,2.53,2.502999555,-13.03,1.07,2.375,-7.412,0.94,21.47746,7.2,1.302,18,45,7.58,9,19,11.81,2.96,3.04,36,1.2,1.96,8,18,3.364,8,10,0,0,0
HC(NH2)2,Cd,Br,1.091034174,0.484693878,2.53,2.502999555,-13.03,1.4,2.215,-7.412,0.95,16.90831,7.36,0.3983,18,46,8.99,10,20,11.81,2.96,3.04,36,1.2,1.96,8,18,3.364,8,10,0,0,0.695787
HC(NH2)2,In,Br,1.078067724,0.50255102,2.53,2.502999555,-13.03,1.63,2.05,-7.412,0.985,18.8703,9.1,0.3,18,47,5.79,1,20,11.81,2.96,3.04,36,1.2,1.96,8,18,3.364,9,10,0,0,0.43423
HC(NH2)2,Sn,Br,1.024164338,0.581632653,2.53,2.502999555,-13.03,1.88,1.88,-7.412,1.14,14.6322,6.28,1.112067,18,48,7.34,2,20,11.81,2.96,3.04,36,1.2,1.96,8,18,3.364,10,10,0,0,0.546685
HC(NH2)2,Sb,Br,1.011117658,0.602040816,2.53,2.502999555,-13.03,2.14,1.765,-7.412,1.18,16.63,6.6,1.046,18,49,8.54,3,20,11.81,2.96,3.04,36,1.2,1.96,8,19,3.364,10,10,0,0,0
HC(NH2)2,Hf,Br,1.044378108,0.551020408,2.53,2.502999555,-13.03,1.73,2.91,-7.412,1.08,15,16.2,0.014,18,70,6.83,2,22,11.81,2.96,3.04,36,1.2,1.96,8,24,3.364,10,10,14,0,0
HC(NH2)2,Ta,Br,1.079901173,0.5,2.53,2.502999555,-13.03,1.94,2.79,-7.412,0.98,15.5,13.1,0.322,18,71,7.89,3,23,11.81,2.96,3.04,36,1.2,1.96,8,24,3.364,10,10,14,0,0
HC(NH2)2,W,Br,1.106240226,0.464285714,2.53,2.502999555,-13.03,1.79,2.735,-7.412,0.91,16.1,11.1,0.81626,18,72,7.98,4,24,11.81,2.96,3.04,36,1.2,1.96,8,24,3.364,10,10,14,0,0
HC(NH2)2,Au,Br,1.148249348,0.410714286,2.53,2.502999555,-13.03,1.19,2.66,-7.412,0.805,20.2,5.8,2.30863,18,77,9.23,9,29,11.81,2.96,3.04,36,1.2,1.96,8,24,3.364,10,10,14,0,0.653205
HC(NH2)2,Tl,Br,0.944913526,0.714285714,2.53,2.502999555,-13.03,1.69,2.235,-7.412,1.4,20.4283,7.5,0.377,18,79,6.11,1,30,11.81,2.96,3.04,36,1.2,1.96,8,24,3.364,11,10,14,0,0
HC(NH2)2,Bi,Br,1.007907761,0.607142857,2.53,2.502999555,-13.03,2.14,1.997,-7.412,1.19,16.703,7.4,0.942362,18,81,7.29,3,30,11.81,2.96,3.04,36,1.2,1.96,8,25,3.364,12,10,14,0,0
HC(NH2)2,Ca,Cl,1.0921151,0.552486188,2.53,2.502999555,-13.03,1.17,3,-7.412,1,11.87172,25,0.02455,12,18,6.11,0,0,12.97,3.16,2.18,18,1.01,1.81,6,12,3.613,6,0,0,0,4.531357
HC(NH2)2,Sc,Cl,1.115943066,0.519337017,2.53,2.502999555,-13.03,1.5,2.75,-7.412,0.94,12.79977,17.8,0.188,12,19,6.56,1,1,12.97,3.16,2.18,18,1.01,1.81,6,12,3.613,6,0,0,0,0
HC(NH2)2,Ti,Cl,1.149379562,0.475138122,2.53,2.502999555,-13.03,1.86,2.58,-7.412,0.86,13.5755,14.6,0.079,12,20,6.83,2,5,12.97,3.16,2.18,18,1.01,1.81,6,12,3.613,6,0,0,0,0
HC(NH2)2,Ge,Cl,1.208206075,0.403314917,2.53,2.502999555,-13.03,1.99,1.56,-7.412,0.73,15.93461,5.84,1.232712,12,30,7.9,2,10,12.97,3.16,2.18,18,1.01,1.81,6,12,3.613,8,0,0,0,2.110342
HC(NH2)2,Sr,Cl,1.02636904,0.651933702,2.53,2.502999555,-13.03,1.13,3.21,-7.412,1.18,11.0301,27.6,0.048,12,36,5.7,0,10,12.97,3.16,2.18,18,1.01,1.81,6,18,3.613,8,0,0,0,4.518025
HC(NH2)2,Y,Cl,1.038525696,0.632596685,2.53,2.502999555,-13.03,1.41,2.94,-7.412,1.145,12.224,22.7,0.307,12,37,6.22,1,11,12.97,3.16,2.18,18,1.01,1.81,6,18,3.613,8,0,0,0,0
HC(NH2)2,Zr,Cl,1.047386836,0.61878453,2.53,2.502999555,-13.03,1.7,2.825,-7.412,1.12,13.1,17.9,0.426,12,38,6.63,2,12,12.97,3.16,2.18,18,1.01,1.81,6,18,3.613,8,0,0,0,0
HC(NH2)2,Nb,Cl,1.096015511,0.546961326,2.53,2.502999555,-13.03,2.03,2.79,-7.412,0.99,14,15.7,0.916,12,39,6.76,3,13,12.97,3.16,2.18,18,1.01,1.81,6,18,3.613,8,0,0,0,0
HC(NH2)2,Mo,Cl,1.13241455,0.497237569,2.53,2.502999555,-13.03,1.94,2.72,-7.412,0.9,16.16,12.8,0.748,12,40,7.09,4,14,12.97,3.16,2.18,18,1.01,1.81,6,18,3.613,8,0,0,0,0
HC(NH2)2,Rh,Cl,1.158054125,0.464088398,2.53,2.502999555,-13.03,1.99,2.52,-7.412,0.84,18.08,8.6,1.137,12,43,7.46,7,17,12.97,3.16,2.18,18,1.01,1.81,6,18,3.613,8,0,0,0,0
HC(NH2)2,Ag,Cl,1.115943066,0.519337017,2.53,2.502999555,-13.03,1.07,2.375,-7.412,0.94,21.47746,7.2,1.302,12,45,7.58,9,19,12.97,3.16,2.18,18,1.01,1.81,6,18,3.613,8,0,0,0,0
HC(NH2)2,In,Cl,1.097976183,0.544198895,2.53,2.502999555,-13.03,1.63,2.05,-7.412,0.985,18.8703,9.1,0.3,12,47,5.79,1,20,12.97,3.16,2.18,18,1.01,1.81,6,18,3.613,9,0,0,0,1.3405
HC(NH2)2,Sn,Cl,1.040285909,0.629834254,2.53,2.502999555,-13.03,1.88,1.88,-7.412,1.14,14.6322,6.28,1.112067,12,48,7.34,2,20,12.97,3.16,2.18,18,1.01,1.81,6,18,3.613,10,0,0,0,0.926919
HC(NH2)2,Sb,Cl,1.02636904,0.651933702,2.53,2.502999555,-13.03,2.14,1.765,-7.412,1.18,16.63,6.6,1.046,12,49,8.54,3,20,12.97,3.16,2.18,18,1.01,1.81,6,19,3.613,10,0,0,0,0
HC(NH2)2,Hf,Cl,1.06188354,0.596685083,2.53,2.502999555,-13.03,1.73,2.91,-7.412,1.08,15,16.2,0.014,12,70,6.83,2,22,12.97,3.16,2.18,18,1.01,1.81,6,24,3.613,10,0,14,0,0
HC(NH2)2,Ta,Cl,1.099943882,0.541436464,2.53,2.502999555,-13.03,1.94,2.79,-7.412,0.98,15.5,13.1,0.322,12,71,7.89,3,23,12.97,3.16,2.18,18,1.01,1.81,6,24,3.613,10,0,14,0,0
HC(NH2)2,W,Cl,1.128251261,0.502762431,2.53,2.502999555,-13.03,1.79,2.735,-7.412,0.91,16.1,11.1,0.81626,12,72,7.98,4,24,12.97,3.16,2.18,18,1.01,1.81,6,24,3.613,10,0,14,0,0
HC(NH2)2,Au,Cl,1.173553893,0.444751381,2.53,2.502999555,-13.03,1.19,2.66,-7.412,0.805,20.2,5.8,2.30863,12,77,9.23,9,29,12.97,3.16,2.18,18,1.01,1.81,6,24,3.613,10,0,14,0,0.901617
HC(NH2)2,Tl,Cl,0.956025991,0.773480663,2.53,2.502999555,-13.03,1.69,2.235,-7.412,1.4,20.4283,7.5,0.377,12,79,6.11,1,30,12.97,3.16,2.18,18,1.01,1.81,6,24,3.613,11,0,14,0,0.554091
HC(NH2)2,Pb,Cl,1.019549312,0.662983425,2.53,2.502999555,-13.03,1.92,2.09,-7.412,1.2,15.03248,6.98,0.364,12,80,7.42,2,30,12.97,3.16,2.18,18,1.01,1.81,6,24,3.613,12,0,14,0,2.113336
HC(NH2)2,Bi,Cl,1.02294781,0.657458564,2.53,2.502999555,-13.03,2.14,1.997,-7.412,1.19,16.703,7.4,0.942362,12,81,7.29,3,30,12.97,3.16,2.18,18,1.01,1.81,6,25,3.613,12,0,14,0,0
