A-site,B-site,X-site,T_f,O_f,r_A.eff,P_A,A_HOMO,χ_B,r_B_s+p,A_LUMO,r_B,IE_B,P_B,EA_B,X_p-electron,IC_B,1st_IP_B,VE_B,B_d-electron,1st_IP_X,χ_X,P_X,IC_X,r_X_s+p,r_X,X_s-electron,B_p-electron,EA_X,B_s-electron,X_d-electron,B_f-electron,X_f-electron
NH2NH3,Mg,Cl,1.1123656083487978,0.39779005524861877,2.17,2.603313579,-12.982000000000001,1.31,2.03,-6.67,0.72,15.03527,10.6,0.2623,11,10,7.65,0,0,12.97,3.16,2.18,18,1.01,1.81,6,6,3.613,4,0,0,0
NH2NH3,Mg,Br,1.0896832113061348,0.3673469387755102,2.17,2.603313579,-12.982000000000001,1.31,2.03,-6.67,0.72,15.03527,10.6,0.2623,18,10,7.65,0,0,11.81,2.96,3.04,36,1.2,1.96,8,6,3.364,4,10,0,0
NH2NH3,Mg,I,1.058238573214114,0.3272727272727272,2.17,2.603313579,-12.982000000000001,1.31,2.03,-6.67,0.72,15.03527,10.6,0.2623,24,10,7.65,0,0,10.45,2.66,4.7,54,1.585,2.2,10,6,3.0589999999999997,4,20,0,0
NH2NH3,Mo,F,1.1098088493959266,0.6766917293233082,2.17,2.603313579,-12.982000000000001,1.94,2.72,-6.67,0.9,16.16,12.8,0.748,6,40,7.09,4,14,17.42,3.98,0.557,10,0.405,1.33,4,18,3.4010000000000002,8,0,0,0
NH2NH3,Mo,Cl,1.0384815458016454,0.4972375690607735,2.17,2.603313579,-12.982000000000001,1.94,2.72,-6.67,0.9,16.16,12.8,0.748,11,40,7.09,4,14,12.97,3.16,2.18,18,1.01,1.81,6,18,3.613,8,0,0,0
NH2NH3,Mo,Br,1.0211017504546998,0.45918367346938777,2.17,2.603313579,-12.982000000000001,1.94,2.72,-6.67,0.9,16.16,12.8,0.748,18,40,7.09,4,14,11.81,2.96,3.04,36,1.2,1.96,8,18,3.364,8,10,0,0
NH2NH3,Mo,I,0.9967924625113589,0.40909090909090906,2.17,2.603313579,-12.982000000000001,1.94,2.72,-6.67,0.9,16.16,12.8,0.748,24,40,7.09,4,14,10.45,2.66,4.7,54,1.585,2.2,10,18,3.0589999999999997,8,20,0,0
NH2NH3,Nb,F,1.0667559198934982,0.744360902255639,2.17,2.603313579,-12.982000000000001,2.03,2.79,-6.67,0.99,14.0,15.7,0.9159999999999999,6,39,6.76,3,13,17.42,3.98,0.557,10,0.405,1.33,4,18,3.4010000000000002,8,0,0,0
NH2NH3,Nb,Cl,1.0051017818294496,0.5469613259668508,2.17,2.603313579,-12.982000000000001,2.03,2.79,-6.67,0.99,14.0,15.7,0.9159999999999999,11,39,6.76,3,13,12.97,3.16,2.18,18,1.01,1.81,6,18,3.613,8,0,0,0
NH2NH3,Nb,Br,0.9899494936611664,0.5051020408163265,2.17,2.603313579,-12.982000000000001,2.03,2.79,-6.67,0.99,14.0,15.7,0.9159999999999999,18,39,6.76,3,13,11.81,2.96,3.04,36,1.2,1.96,8,18,3.364,8,10,0,0
NH2NH3,Nb,I,0.9686697911552389,0.44999999999999996,2.17,2.603313579,-12.982000000000001,2.03,2.79,-6.67,0.99,14.0,15.7,0.9159999999999999,24,39,6.76,3,13,10.45,2.66,4.7,54,1.585,2.2,10,18,3.0589999999999997,8,20,0,0
NH2NH3,Ni,F,1.2251850169073841,0.5187969924812029,2.17,2.603313579,-12.982000000000001,1.76,2.18,-6.67,0.69,18.16884,6.8,1.156,6,26,7.64,8,8,17.42,3.98,0.557,10,0.405,1.33,4,12,3.4010000000000002,6,0,0,0
NH2NH3,Ni,Cl,1.1257139956489837,0.38121546961325964,2.17,2.603313579,-12.982000000000001,1.76,2.18,-6.67,0.69,18.16884,6.8,1.156,11,26,7.64,8,8,12.97,3.16,2.18,18,1.01,1.81,6,12,3.613,6,0,0,0
NH2NH3,Ni,Br,1.1020192476605437,0.3520408163265306,2.17,2.603313579,-12.982000000000001,1.76,2.18,-6.67,0.69,18.16884,6.8,1.156,18,26,7.64,8,8,11.81,2.96,3.04,36,1.2,1.96,8,12,3.364,6,10,0,0
NH2NH3,Ni,I,1.0692237487146063,0.3136363636363636,2.17,2.603313579,-12.982000000000001,1.76,2.18,-6.67,0.69,18.16884,6.8,1.156,24,26,7.64,8,8,10.45,2.66,4.7,54,1.585,2.2,10,12,3.0589999999999997,6,20,0,0
NH2NH3,P,F,1.2626906806902634,0.47368421052631576,2.17,2.603313579,-12.982000000000001,2.32,1.24,-6.67,0.63,19.7695,3.63,0.746607,6,13,10.49,3,0,17.42,3.98,0.557,10,0.405,1.33,4,7,3.4010000000000002,6,0,0,0
NH2NH3,P,Cl,1.15339548734527,0.34806629834254144,2.17,2.603313579,-12.982000000000001,2.32,1.24,-6.67,0.63,19.7695,3.63,0.746607,11,13,10.49,3,0,12.97,3.16,2.18,18,1.01,1.81,6,7,3.613,6,0,0,0
NH2NH3,P,Br,1.1275486510812514,0.32142857142857145,2.17,2.603313579,-12.982000000000001,2.32,1.24,-6.67,0.63,19.7695,3.63,0.746607,18,13,10.49,3,0,11.81,2.96,3.04,36,1.2,1.96,8,7,3.364,6,10,0,0
NH2NH3,P,I,1.091892803457672,0.2863636363636363,2.17,2.603313579,-12.982000000000001,2.32,1.24,-6.67,0.63,19.7695,3.63,0.746607,24,13,10.49,3,0,10.45,2.66,4.7,54,1.585,2.2,10,7,3.0589999999999997,6,20,0,0
NH2NH3,Pb,F,0.9820927516479826,0.894736842105263,2.17,2.603313579,-12.982000000000001,1.8,2.09,-6.67,1.19,15.03248,6.98,0.364,6,80,7.42,2,30,17.42,3.98,0.557,10,0.405,1.33,4,24,3.4010000000000002,12,0,14,0
NH2NH3,Pb,Cl,0.938094996374153,0.6574585635359116,2.17,2.603313579,-12.982000000000001,1.8,2.09,-6.67,1.19,15.03248,6.98,0.364,11,80,7.42,2,30,12.97,3.16,2.18,18,1.01,1.81,6,24,3.613,12,0,14,0
NH2NH3,Pb,Br,0.9270955575556956,0.6071428571428571,2.17,2.603313579,-12.982000000000001,1.8,2.09,-6.67,1.19,15.03248,6.98,0.364,18,80,7.42,2,30,11.81,2.96,3.04,36,1.2,1.96,8,24,3.364,12,10,14,0
NH2NH3,Pb,I,0.9115211309100921,0.5409090909090909,2.17,2.603313579,-12.982000000000001,1.8,2.09,-6.67,1.19,15.03248,6.98,0.364,24,80,7.42,2,30,10.45,2.66,4.7,54,1.585,2.2,10,24,3.0589999999999997,12,20,14,0
NH2NH3,Pd,F,1.130079330663432,0.6466165413533834,2.17,2.603313579,-12.982000000000001,2.08,2.45,-6.67,0.86,19.43,4.8,0.562,6,44,8.34,8,18,17.42,3.98,0.557,10,0.405,1.33,4,18,3.4010000000000002,8,0,0,0
NH2NH3,Pd,Cl,1.0540393217687112,0.4751381215469613,2.17,2.603313579,-12.982000000000001,2.08,2.45,-6.67,0.86,19.43,4.8,0.562,11,44,8.34,8,18,12.97,3.16,2.18,18,1.01,1.81,6,18,3.613,8,0,0,0
NH2NH3,Pd,Br,1.0355854632271069,0.4387755102040816,2.17,2.603313579,-12.982000000000001,2.08,2.45,-6.67,0.86,19.43,4.8,0.562,18,44,8.34,8,18,11.81,2.96,3.04,36,1.2,1.96,8,18,3.364,8,10,0,0
NH2NH3,Pd,I,1.0098224293415727,0.3909090909090909,2.17,2.603313579,-12.982000000000001,2.08,2.45,-6.67,0.86,19.43,4.8,0.562,24,44,8.34,8,18,10.45,2.66,4.7,54,1.585,2.2,10,18,3.0589999999999997,8,20,0,0
NH2NH3,Re,F,1.1352631808040898,0.6390977443609022,2.17,2.603313579,-12.982000000000001,2.06,2.68,-6.67,0.85,17.833,9.7,0.15,6,73,7.88,5,25,17.42,3.98,0.557,10,0.405,1.33,4,24,3.4010000000000002,10,0,14,0
NH2NH3,Re,Cl,1.058001875609947,0.46961325966850825,2.17,2.603313579,-12.982000000000001,2.06,2.68,-6.67,0.85,17.833,9.7,0.15,11,73,7.88,5,25,12.97,3.16,2.18,18,1.01,1.81,6,24,3.613,10,0,14,0
NH2NH3,Re,Br,1.039270820747488,0.4336734693877551,2.17,2.603313579,-12.982000000000001,2.06,2.68,-6.67,0.85,17.833,9.7,0.15,18,73,7.88,5,25,11.81,2.96,3.04,36,1.2,1.96,8,24,3.364,10,10,14,0
NH2NH3,Re,I,1.0131333225525287,0.3863636363636363,2.17,2.603313579,-12.982000000000001,2.06,2.68,-6.67,0.85,17.833,9.7,0.15,24,73,7.88,5,25,10.45,2.66,4.7,54,1.585,2.2,10,24,3.0589999999999997,10,20,14,0
NH2NH3,Rh,F,1.1404948083653992,0.631578947368421,2.17,2.603313579,-12.982000000000001,1.99,2.52,-6.67,0.84,18.08,8.6,1.137,6,43,7.46,7,17,17.42,3.98,0.557,10,0.405,1.33,4,18,3.4010000000000002,8,0,0,0
NH2NH3,Rh,Cl,1.0619943355179091,0.46408839779005523,2.17,2.603313579,-12.982000000000001,1.99,2.52,-6.67,0.84,18.08,8.6,1.137,11,43,7.46,7,17,12.97,3.16,2.18,18,1.01,1.81,6,18,3.613,8,0,0,0
NH2NH3,Rh,Br,1.0429825022501575,0.42857142857142855,2.17,2.603313579,-12.982000000000001,1.99,2.52,-6.67,0.84,18.08,8.6,1.137,18,43,7.46,7,17,11.81,2.96,3.04,36,1.2,1.96,8,18,3.364,8,10,0,0
NH2NH3,Rh,I,1.0164659979556618,0.3818181818181818,2.17,2.603313579,-12.982000000000001,1.99,2.52,-6.67,0.84,18.08,8.6,1.137,24,43,7.46,7,17,10.45,2.66,4.7,54,1.585,2.2,10,18,3.0589999999999997,8,20,0,0
NH2NH3,Sb,F,0.9860054717740703,0.8872180451127819,2.17,2.603313579,-12.982000000000001,2.14,1.765,-6.67,1.18,16.63,6.6,1.046,6,49,8.54,3,20,17.42,3.98,0.557,10,0.405,1.33,4,19,3.4010000000000002,10,0,0,0
NH2NH3,Sb,Cl,0.9412324378335982,0.6519337016574586,2.17,2.603313579,-12.982000000000001,2.14,1.765,-6.67,1.18,16.63,6.6,1.046,11,49,8.54,3,20,12.97,3.16,2.18,18,1.01,1.81,6,19,3.613,10,0,0,0
NH2NH3,Sb,Br,0.9300480911784845,0.6020408163265306,2.17,2.603313579,-12.982000000000001,2.14,1.765,-6.67,1.18,16.63,6.6,1.046,18,49,8.54,3,20,11.81,2.96,3.04,36,1.2,1.96,8,19,3.364,10,10,0,0
